city,region,storage_time,time_since_cooking,storage_condition,container_type,food_type,moisture_type,cooking_method,texture,smell,freshness_level
Nagpur,Central,18.0,5.46,outside,plastic,Dairy,semi-wet,boiled,dry,neutral,Spoiled
Indore,Central,26.5,1.11,outside,open,Non-Vegetarian,wet,steamed,moist,neutral,Spoiled
Madurai,South,25.7,1.58,refrigerated,plastic,Vegetarian,wet,baked,soggy,sour,Spoiled
Bhubaneswar,East,25.1,1.43,outside,open,Non-Vegetarian,dry,boiled,firm,fermented,Spoiled
Bhubaneswar,East,32.0,0.05,outside,closed,Bakery,wet,baked,moist,fermented,Spoiled
Imphal,NorthEast,14.0,1.4,refrigerated,closed,Non-Vegetarian,wet,steamed,crispy,sour,Medium
Ahmedabad,West,6.6,2.41,outside,plastic,Vegetarian,wet,baked,soggy,sour,Spoiled
Chandigarh,North,32.5,2.76,refrigerated,plastic,Bakery,semi-wet,steamed,soggy,sour,Spoiled
Bhubaneswar,East,3.3,2.68,refrigerated,open,Non-Vegetarian,semi-wet,fried,soggy,slight,Fresh
Imphal,NorthEast,14.1,4.59,outside,open,Dairy,dry,baked,crispy,sour,Spoiled
Shillong,NorthEast,14.8,1.77,refrigerated,closed,Vegetarian,wet,boiled,firm,slight,Fresh
Bengaluru,South,12.6,0.19,refrigerated,open,Bakery,semi-wet,fried,moist,neutral,Fresh
Surat,West,8.8,1.0,refrigerated,metal,Seafood,wet,fried,moist,fermented,Medium
Raipur,Central,1.8,3.68,refrigerated,metal,Dairy,semi-wet,boiled,crispy,sour,Medium
Raipur,Central,12.7,9.0,outside,metal,Seafood,wet,baked,soggy,slight,Spoiled
Jaipur,North,0.9,7.21,refrigerated,plastic,Seafood,dry,boiled,dry,neutral,Fresh
Bhubaneswar,East,17.9,3.17,outside,plastic,Non-Vegetarian,semi-wet,steamed,crispy,fermented,Spoiled
Shillong,NorthEast,16.7,3.35,refrigerated,plastic,Vegetarian,dry,boiled,moist,fermented,Spoiled
Ahmedabad,West,6.9,6.46,refrigerated,closed,Non-Vegetarian,wet,steamed,crispy,neutral,Medium
Imphal,NorthEast,0.0,8.55,refrigerated,open,Seafood,semi-wet,baked,soggy,neutral,Fresh
Bhopal,Central,12.1,5.83,refrigerated,plastic,Dairy,wet,baked,dry,fermented,Spoiled
Guwahati,East,0.0,1.13,outside,closed,Non-Vegetarian,wet,fried,moist,slight,Medium
Kochi,South,9.5,2.15,outside,metal,Seafood,dry,boiled,moist,strong,Spoiled
Shillong,NorthEast,0.0,3.25,refrigerated,plastic,Non-Vegetarian,semi-wet,steamed,soft,neutral,Fresh
Jaipur,North,7.9,2.05,outside,closed,Vegetarian,dry,fried,soggy,strong,Medium
Shillong,NorthEast,0.0,0.35,outside,plastic,Non-Vegetarian,semi-wet,boiled,soggy,fermented,Spoiled
Imphal,NorthEast,16.7,3.09,outside,open,Dairy,wet,baked,moist,sour,Spoiled
Kolkata,East,0.0,1.18,refrigerated,plastic,Bakery,dry,steamed,soggy,sour,Medium
Imphal,NorthEast,0.0,3.76,refrigerated,metal,Vegetarian,wet,boiled,soft,fermented,Medium
Bhopal,Central,7.1,2.36,outside,plastic,Non-Vegetarian,semi-wet,baked,soggy,strong,Spoiled
Bengaluru,South,26.5,2.12,outside,metal,Seafood,dry,steamed,soggy,strong,Spoiled
Raipur,Central,12.8,0.91,outside,open,Seafood,dry,baked,firm,slight,Spoiled
Surat,West,24.1,5.62,outside,open,Dairy,dry,baked,soft,slight,Spoiled
Raipur,Central,27.5,4.37,outside,metal,Seafood,wet,fried,crispy,fermented,Spoiled
Shillong,NorthEast,13.9,1.42,refrigerated,plastic,Vegetarian,wet,fried,firm,strong,Medium
Delhi,North,14.4,0.4,refrigerated,closed,Seafood,wet,baked,soggy,slight,Fresh
Kochi,South,16.7,1.13,outside,plastic,Dairy,semi-wet,fried,moist,strong,Spoiled
Goa,West,26.9,0.91,outside,closed,Dairy,semi-wet,fried,crispy,slight,Medium
Guwahati,East,7.6,0.01,outside,metal,Bakery,semi-wet,boiled,moist,neutral,Medium
Madurai,South,9.7,0.52,outside,metal,Vegetarian,semi-wet,fried,moist,neutral,Medium
Guwahati,NorthEast,20.4,4.76,outside,plastic,Seafood,dry,steamed,dry,fermented,Spoiled
Ahmedabad,West,14.3,6.45,refrigerated,metal,Dairy,semi-wet,fried,dry,strong,Medium
Bhopal,Central,22.4,4.4,outside,closed,Vegetarian,dry,steamed,moist,slight,Spoiled
Guwahati,NorthEast,14.3,2.61,refrigerated,closed,Vegetarian,dry,boiled,crispy,sour,Medium
Patna,East,0.0,0.52,outside,metal,Dairy,wet,baked,moist,neutral,Medium
Lucknow,North,21.5,1.66,outside,plastic,Seafood,dry,fried,soft,sour,Spoiled
Chandigarh,North,12.2,3.56,refrigerated,closed,Bakery,wet,boiled,firm,neutral,Medium
Goa,West,24.4,1.71,refrigerated,closed,Non-Vegetarian,dry,steamed,soft,neutral,Fresh
Indore,Central,14.7,2.71,refrigerated,open,Dairy,semi-wet,boiled,crispy,fermented,Spoiled
Shillong,NorthEast,2.0,2.4,refrigerated,closed,Vegetarian,dry,steamed,soggy,sour,Medium
Chandigarh,North,24.3,1.88,outside,closed,Dairy,dry,fried,dry,fermented,Spoiled
Patna,East,10.9,0.58,outside,open,Seafood,dry,baked,moist,strong,Spoiled
Delhi,North,0.0,0.62,refrigerated,plastic,Bakery,semi-wet,steamed,dry,strong,Fresh
Guwahati,NorthEast,15.4,6.27,outside,closed,Non-Vegetarian,dry,steamed,soft,strong,Spoiled
Kolkata,East,9.5,7.03,refrigerated,open,Seafood,dry,baked,crispy,neutral,Medium
Madurai,South,4.0,3.32,refrigerated,closed,Seafood,dry,boiled,crispy,strong,Fresh
Bhopal,Central,4.5,2.85,outside,plastic,Bakery,dry,steamed,soft,strong,Spoiled
Indore,Central,9.8,3.96,outside,plastic,Non-Vegetarian,dry,fried,crispy,strong,Spoiled
Imphal,NorthEast,21.1,2.71,outside,open,Vegetarian,dry,baked,soggy,neutral,Spoiled
Surat,West,20.8,2.35,refrigerated,closed,Bakery,semi-wet,fried,soggy,strong,Medium
Patna,East,9.0,3.58,refrigerated,closed,Bakery,semi-wet,steamed,moist,neutral,Medium
Chennai,South,8.5,0.45,outside,metal,Dairy,wet,steamed,soggy,fermented,Spoiled
Bengaluru,South,23.2,3.23,refrigerated,metal,Seafood,dry,steamed,soggy,sour,Medium
Delhi,North,17.5,4.16,outside,closed,Dairy,wet,baked,dry,slight,Spoiled
Jaipur,North,5.8,1.95,outside,metal,Non-Vegetarian,wet,boiled,moist,sour,Spoiled
Ahmedabad,West,5.9,0.02,outside,closed,Seafood,semi-wet,steamed,soft,fermented,Spoiled
Mumbai,West,8.8,0.84,outside,metal,Bakery,wet,baked,moist,neutral,Spoiled
Madurai,South,24.4,4.48,outside,closed,Bakery,semi-wet,boiled,crispy,neutral,Spoiled
Surat,West,14.8,1.47,refrigerated,closed,Bakery,wet,steamed,moist,fermented,Spoiled
Raipur,Central,25.1,0.75,refrigerated,plastic,Vegetarian,semi-wet,steamed,soggy,strong,Medium
Pune,South,17.2,6.24,outside,closed,Bakery,semi-wet,baked,soggy,sour,Spoiled
Pune,South,7.6,1.53,refrigerated,plastic,Bakery,dry,steamed,soft,strong,Medium
Nagpur,Central,29.3,2.59,outside,open,Dairy,dry,baked,soft,sour,Spoiled
Goa,West,13.4,0.42,outside,open,Seafood,semi-wet,fried,soggy,slight,Medium
Lucknow,North,0.0,4.41,refrigerated,plastic,Non-Vegetarian,dry,baked,crispy,neutral,Fresh
Delhi,North,0.0,0.17,outside,closed,Seafood,dry,baked,soggy,neutral,Fresh
Shillong,NorthEast,0.0,1.59,outside,metal,Bakery,dry,baked,soft,sour,Medium
Mumbai,West,22.5,4.4,outside,closed,Seafood,wet,steamed,firm,neutral,Spoiled
Imphal,NorthEast,6.9,5.03,refrigerated,metal,Vegetarian,dry,fried,crispy,slight,Fresh
Surat,West,15.4,4.63,outside,plastic,Vegetarian,dry,steamed,moist,strong,Spoiled
Patna,East,0.0,2.11,outside,closed,Bakery,dry,baked,crispy,neutral,Medium
Indore,Central,3.6,0.1,refrigerated,plastic,Dairy,wet,steamed,crispy,sour,Medium
Mumbai,West,1.4,4.7,refrigerated,closed,Non-Vegetarian,dry,fried,dry,sour,Fresh
Imphal,NorthEast,2.8,2.89,refrigerated,plastic,Dairy,wet,steamed,soft,fermented,Spoiled
Ahmedabad,West,2.3,4.51,refrigerated,plastic,Seafood,wet,steamed,crispy,sour,Spoiled
Chennai,South,30.2,1.91,refrigerated,metal,Seafood,wet,steamed,moist,strong,Spoiled
Madurai,South,16.7,10.59,refrigerated,plastic,Non-Vegetarian,semi-wet,steamed,firm,sour,Spoiled
Nagpur,Central,9.6,1.59,refrigerated,plastic,Dairy,semi-wet,fried,dry,neutral,Fresh
Guwahati,East,12.6,0.43,refrigerated,closed,Bakery,semi-wet,boiled,soft,neutral,Fresh
Goa,West,11.9,6.26,outside,closed,Bakery,wet,fried,crispy,slight,Spoiled
Nagpur,Central,14.6,1.6,outside,plastic,Vegetarian,wet,boiled,soft,neutral,Spoiled
Bhopal,Central,0.0,2.58,refrigerated,closed,Dairy,wet,fried,crispy,sour,Medium
Patna,East,8.8,2.79,outside,metal,Seafood,wet,fried,soggy,slight,Spoiled
Bengaluru,South,30.8,0.02,outside,closed,Dairy,wet,steamed,firm,slight,Spoiled
Bengaluru,South,20.4,3.61,outside,metal,Dairy,dry,fried,firm,slight,Medium
Patna,East,11.1,4.85,outside,metal,Dairy,dry,boiled,crispy,neutral,Spoiled
Indore,Central,27.1,1.69,outside,metal,Vegetarian,semi-wet,steamed,firm,neutral,Spoiled
Kochi,South,7.9,3.27,refrigerated,closed,Bakery,semi-wet,steamed,soggy,slight,Fresh
Guwahati,East,1.5,0.69,refrigerated,open,Vegetarian,semi-wet,steamed,crispy,strong,Fresh
Raipur,Central,12.5,2.96,outside,open,Dairy,dry,boiled,firm,fermented,Spoiled
Bhopal,Central,15.4,5.39,refrigerated,metal,Bakery,wet,boiled,soggy,neutral,Medium
Imphal,NorthEast,6.9,4.35,refrigerated,metal,Seafood,dry,steamed,dry,sour,Medium
Hyderabad,South,0.0,2.49,outside,closed,Seafood,semi-wet,steamed,crispy,neutral,Medium
Mumbai,West,11.5,5.42,outside,closed,Non-Vegetarian,dry,fried,dry,strong,Spoiled
Chennai,South,0.0,4.47,refrigerated,plastic,Vegetarian,wet,boiled,moist,slight,Medium
Imphal,NorthEast,0.0,3.2,refrigerated,closed,Vegetarian,wet,fried,moist,fermented,Medium
Bhubaneswar,East,18.5,6.59,outside,metal,Seafood,wet,fried,soft,neutral,Spoiled
Surat,West,18.7,0.71,refrigerated,metal,Non-Vegetarian,wet,baked,soft,strong,Medium
Guwahati,NorthEast,16.8,5.86,outside,open,Dairy,dry,baked,soggy,fermented,Spoiled
Kochi,South,4.6,2.78,refrigerated,closed,Seafood,semi-wet,steamed,crispy,fermented,Medium
Delhi,North,25.1,1.33,outside,closed,Vegetarian,wet,boiled,moist,strong,Spoiled
Bengaluru,South,1.3,0.97,refrigerated,plastic,Bakery,wet,fried,moist,slight,Fresh
Indore,Central,0.0,1.87,outside,plastic,Non-Vegetarian,dry,boiled,firm,strong,Medium
Srinagar,North,0.2,0.5,outside,closed,Seafood,semi-wet,fried,moist,neutral,Fresh
Bhopal,Central,15.5,1.55,outside,plastic,Dairy,dry,boiled,soft,strong,Spoiled
Surat,West,31.9,0.63,refrigerated,closed,Non-Vegetarian,dry,baked,moist,strong,Medium
Guwahati,NorthEast,10.0,1.09,outside,metal,Dairy,semi-wet,boiled,firm,slight,Medium
Madurai,South,31.3,0.45,refrigerated,plastic,Non-Vegetarian,wet,fried,firm,neutral,Fresh
Bhopal,Central,12.5,3.19,refrigerated,metal,Non-Vegetarian,wet,steamed,dry,strong,Medium
Hyderabad,South,10.0,5.78,outside,open,Bakery,wet,baked,moist,slight,Spoiled
Surat,West,0.0,5.52,outside,plastic,Dairy,wet,boiled,firm,slight,Spoiled
Srinagar,North,11.7,4.68,refrigerated,open,Vegetarian,wet,boiled,soggy,strong,Spoiled
Surat,West,13.2,2.8,refrigerated,open,Bakery,semi-wet,steamed,firm,sour,Spoiled
Kochi,South,12.6,6.08,outside,plastic,Non-Vegetarian,semi-wet,baked,soggy,slight,Spoiled
Indore,Central,17.2,2.54,outside,closed,Seafood,semi-wet,fried,firm,strong,Spoiled
Guwahati,NorthEast,10.1,3.9,refrigerated,metal,Non-Vegetarian,semi-wet,steamed,soggy,fermented,Spoiled
Patna,East,5.9,1.45,refrigerated,open,Bakery,dry,fried,moist,neutral,Fresh
Bhubaneswar,East,2.3,1.9,outside,open,Bakery,wet,baked,moist,fermented,Spoiled
Srinagar,North,13.8,1.92,refrigerated,closed,Dairy,wet,boiled,firm,neutral,Fresh
Pune,South,4.9,4.19,outside,open,Bakery,wet,fried,firm,slight,Spoiled
Jaipur,North,17.6,5.11,refrigerated,closed,Dairy,wet,fried,moist,strong,Medium
Madurai,South,31.1,0.9,refrigerated,closed,Bakery,semi-wet,fried,moist,neutral,Fresh
Nagpur,Central,15.9,3.9,outside,open,Dairy,semi-wet,boiled,moist,fermented,Spoiled
Indore,Central,15.0,5.41,outside,closed,Dairy,semi-wet,baked,crispy,neutral,Spoiled
Surat,West,0.0,1.64,refrigerated,plastic,Vegetarian,semi-wet,boiled,soft,strong,Fresh
Ahmedabad,West,11.3,3.59,outside,open,Non-Vegetarian,dry,fried,soggy,sour,Spoiled
Mumbai,West,0.0,4.69,refrigerated,closed,Bakery,wet,baked,firm,fermented,Medium
Hyderabad,South,1.9,3.64,refrigerated,closed,Vegetarian,wet,baked,crispy,strong,Fresh
Kolkata,East,0.0,6.09,refrigerated,closed,Dairy,semi-wet,steamed,crispy,sour,Medium
Guwahati,East,0.0,3.83,outside,open,Non-Vegetarian,semi-wet,steamed,crispy,sour,Spoiled
Nagpur,Central,22.6,1.03,refrigerated,closed,Non-Vegetarian,semi-wet,baked,soggy,strong,Fresh
Imphal,NorthEast,39.3,6.11,outside,metal,Dairy,wet,fried,dry,sour,Spoiled
Shillong,NorthEast,8.9,0.44,outside,open,Bakery,semi-wet,baked,soft,fermented,Spoiled
Delhi,North,2.3,0.52,refrigerated,plastic,Dairy,semi-wet,fried,soggy,fermented,Medium
Lucknow,North,17.4,4.02,outside,open,Dairy,semi-wet,baked,firm,fermented,Spoiled
Patna,East,20.4,1.52,refrigerated,metal,Non-Vegetarian,wet,boiled,moist,slight,Medium
Raipur,Central,5.2,0.47,refrigerated,plastic,Vegetarian,semi-wet,baked,moist,fermented,Medium
Chandigarh,North,28.3,5.63,refrigerated,metal,Non-Vegetarian,semi-wet,fried,crispy,strong,Medium
Imphal,NorthEast,4.1,0.56,outside,closed,Dairy,wet,fried,dry,slight,Medium
Mumbai,West,1.7,4.61,refrigerated,closed,Bakery,semi-wet,boiled,soggy,sour,Medium
Guwahati,East,11.1,2.32,outside,plastic,Non-Vegetarian,semi-wet,baked,firm,sour,Spoiled
Imphal,NorthEast,9.9,4.32,outside,open,Bakery,wet,baked,crispy,slight,Spoiled
Bhopal,Central,12.7,3.06,outside,metal,Dairy,dry,boiled,dry,slight,Spoiled
Jaipur,North,25.5,5.69,outside,closed,Non-Vegetarian,wet,baked,moist,fermented,Spoiled
Nagpur,Central,0.0,1.19,outside,open,Non-Vegetarian,wet,steamed,crispy,strong,Spoiled
Bengaluru,South,17.1,0.3,outside,plastic,Seafood,dry,steamed,firm,sour,Spoiled
Patna,East,12.0,2.62,outside,open,Seafood,wet,fried,soggy,sour,Spoiled
Imphal,NorthEast,0.0,6.72,outside,closed,Non-Vegetarian,semi-wet,steamed,soggy,strong,Spoiled
Raipur,Central,0.0,2.07,outside,plastic,Vegetarian,semi-wet,fried,soft,slight,Medium
Madurai,South,15.2,1.07,outside,open,Seafood,wet,boiled,crispy,neutral,Spoiled
Guwahati,East,17.7,3.17,refrigerated,open,Vegetarian,wet,baked,firm,fermented,Spoiled
Lucknow,North,20.9,3.27,outside,plastic,Vegetarian,semi-wet,boiled,soft,strong,Spoiled
Madurai,South,5.7,0.61,outside,closed,Non-Vegetarian,wet,baked,moist,slight,Medium
Delhi,North,0.0,4.28,refrigerated,open,Non-Vegetarian,wet,steamed,crispy,neutral,Fresh
Imphal,NorthEast,1.4,2.17,refrigerated,open,Non-Vegetarian,dry,baked,soggy,sour,Medium
Bhopal,Central,3.3,0.81,refrigerated,open,Non-Vegetarian,wet,fried,soggy,neutral,Fresh
Goa,West,3.9,0.56,refrigerated,metal,Dairy,wet,boiled,soggy,sour,Medium
Lucknow,North,5.8,5.53,refrigerated,open,Vegetarian,dry,boiled,crispy,sour,Medium
Kolkata,East,11.7,0.49,refrigerated,metal,Non-Vegetarian,semi-wet,steamed,moist,neutral,Fresh
Hyderabad,South,12.3,1.27,refrigerated,plastic,Dairy,semi-wet,fried,crispy,fermented,Medium
Guwahati,East,15.1,4.29,refrigerated,closed,Vegetarian,dry,fried,firm,fermented,Medium
Jaipur,North,29.6,3.19,refrigerated,metal,Dairy,semi-wet,steamed,firm,strong,Medium
Srinagar,North,21.5,5.98,outside,open,Dairy,semi-wet,steamed,soft,sour,Spoiled
Raipur,Central,4.0,0.33,refrigerated,plastic,Bakery,dry,fried,soggy,slight,Fresh
Chandigarh,North,3.4,6.36,refrigerated,plastic,Dairy,dry,boiled,moist,strong,Medium
Kolkata,East,14.2,7.76,outside,open,Dairy,wet,fried,moist,strong,Spoiled
Nagpur,Central,9.2,0.65,outside,metal,Seafood,wet,steamed,crispy,strong,Spoiled
Guwahati,East,15.7,2.9,outside,closed,Dairy,dry,steamed,soggy,strong,Spoiled
Guwahati,East,6.8,6.42,outside,closed,Bakery,dry,fried,soft,slight,Medium
Surat,West,22.0,2.59,refrigerated,open,Dairy,dry,baked,dry,fermented,Spoiled
Chennai,South,16.3,0.59,outside,open,Vegetarian,dry,fried,dry,fermented,Spoiled
Madurai,South,10.6,2.77,outside,plastic,Dairy,wet,baked,soft,slight,Spoiled
Jaipur,North,8.1,8.11,refrigerated,plastic,Vegetarian,wet,steamed,dry,fermented,Spoiled
Patna,East,21.1,0.43,outside,metal,Bakery,semi-wet,baked,soft,sour,Spoiled
Indore,Central,25.8,1.17,outside,closed,Vegetarian,wet,boiled,soggy,fermented,Spoiled
Chandigarh,North,43.5,5.46,outside,closed,Non-Vegetarian,dry,boiled,dry,sour,Spoiled
Indore,Central,4.6,4.94,refrigerated,closed,Bakery,semi-wet,steamed,firm,fermented,Medium
Kolkata,East,34.4,2.03,refrigerated,open,Non-Vegetarian,semi-wet,fried,firm,strong,Spoiled
Pune,South,9.4,2.87,outside,closed,Dairy,semi-wet,steamed,dry,neutral,Spoiled
Madurai,South,24.1,9.02,refrigerated,metal,Bakery,semi-wet,steamed,crispy,slight,Medium
Kochi,South,37.9,1.72,outside,open,Vegetarian,wet,boiled,firm,fermented,Spoiled
Bhubaneswar,East,0.0,3.82,outside,open,Seafood,dry,boiled,soggy,neutral,Medium
Ahmedabad,West,6.7,2.88,outside,open,Dairy,wet,baked,soggy,sour,Spoiled
Bhubaneswar,East,1.7,8.71,outside,open,Vegetarian,dry,fried,crispy,slight,Medium
Surat,West,9.0,2.4,outside,metal,Seafood,wet,steamed,firm,slight,Spoiled
Goa,West,12.8,2.09,outside,open,Vegetarian,dry,fried,crispy,fermented,Spoiled
Kochi,South,14.5,1.3,outside,plastic,Seafood,dry,steamed,soft,fermented,Spoiled
Goa,West,11.6,3.06,outside,open,Vegetarian,wet,boiled,soft,strong,Spoiled
Patna,East,12.8,4.52,refrigerated,closed,Dairy,dry,baked,moist,neutral,Fresh
Kochi,South,0.0,6.07,outside,open,Non-Vegetarian,wet,fried,dry,strong,Spoiled
Patna,East,27.5,2.36,refrigerated,closed,Bakery,semi-wet,boiled,dry,sour,Spoiled
Bhopal,Central,3.0,1.39,outside,open,Dairy,wet,baked,crispy,sour,Spoiled
Hyderabad,South,0.0,5.75,outside,metal,Non-Vegetarian,semi-wet,fried,soft,sour,Spoiled
Ahmedabad,West,15.7,0.82,outside,closed,Dairy,wet,fried,crispy,strong,Spoiled
Bhubaneswar,East,9.6,2.73,outside,closed,Non-Vegetarian,dry,fried,soft,strong,Spoiled
Kochi,South,9.7,0.3,refrigerated,closed,Dairy,wet,fried,dry,sour,Medium
Surat,West,8.5,3.45,outside,open,Seafood,dry,baked,moist,neutral,Spoiled
Pune,South,15.9,6.2,outside,open,Bakery,dry,boiled,soft,neutral,Spoiled
Hyderabad,South,8.6,8.29,refrigerated,plastic,Seafood,semi-wet,steamed,soggy,strong,Spoiled
Bhopal,Central,0.0,0.48,outside,metal,Seafood,dry,steamed,crispy,neutral,Fresh
Imphal,NorthEast,10.3,3.63,outside,closed,Non-Vegetarian,wet,steamed,soft,fermented,Spoiled
Guwahati,NorthEast,10.0,2.52,refrigerated,metal,Bakery,wet,baked,firm,strong,Medium
Indore,Central,16.3,2.9,refrigerated,open,Seafood,wet,steamed,moist,fermented,Spoiled
Hyderabad,South,2.8,4.87,refrigerated,plastic,Dairy,wet,fried,soft,sour,Medium
Pune,South,15.9,0.76,outside,closed,Non-Vegetarian,dry,steamed,crispy,sour,Spoiled
Jaipur,North,5.5,2.61,outside,plastic,Non-Vegetarian,dry,boiled,dry,slight,Spoiled
Imphal,NorthEast,15.0,4.75,refrigerated,closed,Vegetarian,dry,fried,crispy,fermented,Medium
Madurai,South,10.7,3.03,outside,plastic,Vegetarian,wet,steamed,crispy,strong,Spoiled
Guwahati,NorthEast,33.2,0.15,refrigerated,closed,Dairy,wet,boiled,soft,slight,Fresh
Guwahati,NorthEast,31.9,3.43,refrigerated,open,Seafood,wet,fried,dry,fermented,Spoiled
Guwahati,NorthEast,11.7,6.67,outside,metal,Non-Vegetarian,semi-wet,fried,moist,neutral,Spoiled
Nagpur,Central,8.4,7.15,refrigerated,metal,Dairy,semi-wet,boiled,firm,fermented,Spoiled
Imphal,NorthEast,20.2,0.9,refrigerated,closed,Vegetarian,wet,baked,soft,neutral,Fresh
Srinagar,North,0.0,4.22,refrigerated,metal,Seafood,dry,fried,soggy,neutral,Fresh
Ahmedabad,West,17.4,2.1,outside,open,Non-Vegetarian,wet,steamed,crispy,strong,Spoiled
Ahmedabad,West,0.0,5.85,refrigerated,closed,Dairy,dry,fried,moist,slight,Fresh
Jaipur,North,0.0,1.36,outside,plastic,Bakery,semi-wet,fried,soft,slight,Medium
Kolkata,East,0.0,1.23,refrigerated,plastic,Bakery,semi-wet,boiled,firm,strong,Fresh
Surat,West,35.3,2.51,refrigerated,metal,Bakery,dry,baked,soggy,sour,Spoiled
Hyderabad,South,6.0,3.25,outside,plastic,Dairy,dry,baked,soggy,fermented,Spoiled
Mumbai,West,24.3,2.85,outside,plastic,Vegetarian,wet,boiled,dry,fermented,Spoiled
Ahmedabad,West,13.5,2.04,refrigerated,open,Seafood,dry,boiled,moist,sour,Spoiled
Ahmedabad,West,11.1,1.12,outside,closed,Non-Vegetarian,dry,steamed,soggy,slight,Medium
Chennai,South,11.0,0.6,refrigerated,closed,Dairy,semi-wet,baked,soft,fermented,Medium
Kolkata,East,0.2,2.38,refrigerated,open,Non-Vegetarian,wet,boiled,moist,fermented,Spoiled
Guwahati,East,12.6,0.39,refrigerated,metal,Seafood,dry,baked,crispy,sour,Fresh
Shillong,NorthEast,16.2,6.0,refrigerated,metal,Seafood,wet,boiled,moist,strong,Spoiled
Guwahati,NorthEast,8.3,2.35,refrigerated,open,Bakery,wet,fried,crispy,sour,Spoiled
Bhubaneswar,East,27.1,1.53,refrigerated,metal,Non-Vegetarian,wet,fried,soft,strong,Medium
Kolkata,East,6.0,0.38,refrigerated,plastic,Bakery,semi-wet,baked,moist,strong,Fresh
Imphal,NorthEast,25.5,2.37,refrigerated,metal,Dairy,wet,boiled,firm,strong,Spoiled
Bhubaneswar,East,14.1,2.59,refrigerated,open,Seafood,dry,steamed,dry,strong,Medium
Surat,West,34.0,4.19,outside,open,Bakery,wet,steamed,moist,strong,Spoiled
Imphal,NorthEast,18.7,5.16,refrigerated,metal,Dairy,dry,steamed,soft,strong,Medium
Ahmedabad,West,24.6,5.56,outside,open,Vegetarian,dry,boiled,soft,strong,Spoiled
Imphal,NorthEast,11.6,1.34,outside,metal,Bakery,semi-wet,fried,crispy,fermented,Spoiled
Guwahati,NorthEast,13.8,1.66,outside,plastic,Vegetarian,dry,boiled,firm,slight,Spoiled
Guwahati,NorthEast,14.8,2.52,refrigerated,plastic,Seafood,semi-wet,baked,dry,neutral,Medium
Patna,East,3.2,1.23,outside,metal,Bakery,wet,fried,soft,neutral,Medium
Imphal,NorthEast,13.1,1.33,refrigerated,metal,Non-Vegetarian,wet,baked,dry,slight,Fresh
Guwahati,NorthEast,0.0,4.04,refrigerated,open,Vegetarian,dry,fried,dry,fermented,Medium
